1,Harvard,219
2,Stanford,153
3,Cornell,81
4,Yale,80
5,UCLA,58
6,Columbia,57
7,Princeton,47
8,Dartmouth,47
9,UChicago,44
10,Brown,42
11,UPenn,34
12,Duke,34
13,Georgetown,32
14,MIT,28
15,UC Berkeley,28
16,Rice,27
17,NYU,27
18,CalTech,26
19,Northwestern,24
20,UVA,23
21,Vanderbilt,22
22,UMich,22
23,Williams,22
24,Emory,21
25,USC,18
26,Notre Dame,16
27,Wustl,14
28,Pomona,11
29,Georgia Tech,10
30,Swarthmore,10
31,Tufts,9
32,UCSB,8
33,UCD,7
34,Bowdoin,7
35,UCSD,6
36,Wellesley,6
37,Barnard,6
38,JHU,5
39,CMU,5
40,UNC,5
41,Harvey Mudd,5
42,URoch,4
43,UF,3
44,Amherst,1
